# Version 1.00
#
freq[Hz]	re:Trc1_S11	im:Trc1_S11	re:Trc2_S11	im:Trc2_S11	
1.000000000000000E+008	2.914733290672302E-001	-7.123998999595642E-001	2.914733290672302E-001	-7.123998999595642E-001	
1.005000000000000E+008	1.266700774431229E-001	-7.580147385597229E-001	1.266700774431229E-001	-7.580147385597229E-001	
1.010000000000000E+008	-4.423861578106880E-002	-7.663246989250183E-001	-4.423861578106880E-002	-7.663246989250183E-001	
1.015000000000000E+008	-2.162469774484634E-001	-7.316765785217285E-001	-2.162469774484634E-001	-7.316765785217285E-001	
1.020000000000000E+008	-3.725045025348663E-001	-6.615703701972961E-001	-3.725045025348663E-001	-6.615703701972961E-001	
1.025000000000000E+008	-5.105373263359070E-001	-5.616770386695862E-001	-5.105373263359070E-001	-5.616770386695862E-001	
1.030000000000000E+008	-6.184513568878174E-001	-4.255757927894592E-001	-6.184513568878174E-001	-4.255757927894592E-001	
1.035000000000000E+008	-6.989454627037048E-001	-2.735165655612946E-001	-6.989454627037048E-001	-2.735165655612946E-001	
1.040000000000000E+008	-7.347695231437683E-001	-1.051069945096970E-001	-7.347695231437683E-001	-1.051069945096970E-001	
1.045000000000000E+008	-7.334790825843811E-001	6.382548809051514E-002	-7.334790825843811E-001	6.382548809051514E-002	
1.050000000000000E+008	-6.957729458808899E-001	2.335817664861679E-001	-6.957729458808899E-001	2.335817664861679E-001	
1.055000000000000E+008	-6.195765137672424E-001	3.871618211269379E-001	-6.195765137672424E-001	3.871618211269379E-001	
1.060000000000000E+008	-5.103583931922913E-001	5.185810923576355E-001	-5.103583931922913E-001	5.185810923576355E-001	
1.065000000000000E+008	-3.735496699810028E-001	6.225045323371887E-001	-3.735496699810028E-001	6.225045323371887E-001	
1.070000000000000E+008	-2.173044681549072E-001	6.923041939735413E-001	-2.173044681549072E-001	6.923041939735413E-001	
1.075000000000000E+008	-5.353678017854691E-002	7.235894203186035E-001	-5.353678017854691E-002	7.235894203186035E-001	
1.080000000000000E+008	1.157551109790802E-001	7.136890292167664E-001	1.157551109790802E-001	7.136890292167664E-001	
1.085000000000000E+008	2.748416364192963E-001	6.656879782676697E-001	2.748416364192963E-001	6.656879782676697E-001	
1.090000000000000E+008	4.187346100807190E-001	5.842730402946472E-001	4.187346100807190E-001	5.842730402946472E-001	
1.095000000000000E+008	5.398938655853272E-001	4.758567810058594E-001	5.398938655853272E-001	4.758567810058594E-001	
1.100000000000000E+008	6.336007118225098E-001	3.429769277572632E-001	6.336007118225098E-001	3.429769277572632E-001	
1.105000000000000E+008	6.970360279083252E-001	1.924149245023727E-001	6.970360279083252E-001	1.924149245023727E-001	
1.110000000000000E+008	7.244699597358704E-001	3.297883272171021E-002	7.244699597358704E-001	3.297883272171021E-002	
1.115000000000000E+008	7.128134965896606E-001	-1.310231536626816E-001	7.128134965896606E-001	-1.310231536626816E-001	
1.120000000000000E+008	6.685478091239929E-001	-2.892689704895020E-001	6.685478091239929E-001	-2.892689704895020E-001	
1.125000000000000E+008	5.867185592651367E-001	-4.270692765712738E-001	5.867185592651367E-001	-4.270692765712738E-001	
1.130000000000000E+008	4.771692156791687E-001	-5.479899644851685E-001	4.771692156791687E-001	-5.479899644851685E-001	
