# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S11[U]	
1.000000000000000E+008	-2.286910179087105E+000	7.640010181927562E+000	
1.005000000000000E+008	-2.273279300030342E+000	7.685297208622160E+000	
1.010000000000000E+008	-2.258194182184841E+000	7.736056757488280E+000	
1.015000000000000E+008	-2.302387462021887E+000	7.589242520862497E+000	
1.020000000000000E+008	-2.336774476210126E+000	7.478869176970281E+000	
1.025000000000000E+008	-2.390009452452138E+000	7.314300382137103E+000	
1.030000000000000E+008	-2.440593199545497E+000	7.164620322787729E+000	
1.035000000000000E+008	-2.518913378339472E+000	6.944802809504270E+000	
1.040000000000000E+008	-2.556242970022960E+000	6.844803828897958E+000	
1.045000000000000E+008	-2.639262467170567E+000	6.632623203940403E+000	
1.050000000000000E+008	-2.679911529273499E+000	6.533562481440502E+000	
1.055000000000000E+008	-2.768067332551382E+000	6.328803725437114E+000	
1.060000000000000E+008	-2.822009478134185E+000	6.209873180615118E+000	
1.065000000000000E+008	-2.864450346588519E+000	6.119476068562840E+000	
1.070000000000000E+008	-2.888148888489253E+000	6.070165490795708E+000	
1.075000000000000E+008	-2.863639163084535E+000	6.121178511160051E+000	
1.080000000000000E+008	-2.901304250227953E+000	6.043143439277876E+000	
1.085000000000000E+008	-2.917482210616646E+000	6.010249953202055E+000	
1.090000000000000E+008	-2.894070383082242E+000	6.057971635158101E+000	
1.095000000000000E+008	-2.866078281146400E+000	6.116062432569857E+000	
1.100000000000000E+008	-2.850029733632478E+000	6.149886645325823E+000	
1.105000000000000E+008	-2.810603683022947E+000	6.234636582802574E+000	
1.110000000000000E+008	-2.777460294390296E+000	6.307759283668540E+000	
1.115000000000000E+008	-2.746497034137677E+000	6.377680301637941E+000	
1.120000000000000E+008	-2.751066711070124E+000	6.367261254355075E+000	
1.125000000000000E+008	-2.752153192791802E+000	6.364789165856737E+000	
1.130000000000000E+008	-2.765435165993974E+000	6.334726818245577E+000	
1.135000000000000E+008	-2.828821696618721E+000	6.195179089404899E+000	
1.140000000000000E+008	-2.881515170908881E+000	6.083886063248086E+000	
1.145000000000000E+008	-2.926868879548960E+000	5.991332967689470E+000	
1.150000000000000E+008	-3.004108196438895E+000	5.840203165801638E+000	
1.155000000000000E+008	-3.062479433313664E+000	5.731097920621879E+000	
1.160000000000000E+008	-3.143696830289375E+000	5.586098564578334E+000	
1.165000000000000E+008	-3.191044402228433E+000	5.505009631428967E+000	
1.170000000000000E+008	-3.242210129182933E+000	5.420073581347447E+000	
1.175000000000000E+008	-3.252498519515469E+000	5.403321039128252E+000	
1.180000000000000E+008	-3.285888985333129E+000	5.349682610206215E+000	
1.185000000000000E+008	-3.305142883008292E+000	5.319251603909035E+000	
1.190000000000000E+008	-3.346476043918917E+000	5.255120958250847E+000	
1.195000000000000E+008	-3.357376514512127E+000	5.238474617354086E+000	
1.200000000000000E+008	-3.382862326264834E+000	5.199978498295283E+000	
1.205000000000000E+008	-3.355501485058287E+000	5.241330217633467E+000	
1.210000000000000E+008	-3.392065092903162E+000	5.186221724164905E+000	
1.215000000000000E+008	-3.399639378341378E+000	5.174955870470547E+000	
1.220000000000000E+008	-3.382685197745359E+000	5.200244022714503E+000	
1.225000000000000E+008	-3.360618599594573E+000	5.233544653702908E+000	
1.230000000000000E+008	-3.332723944411931E+000	5.276279353562118E+000	
1.235000000000000E+008	-3.296544270546250E+000	5.332797356861804E+000	
1.240000000000000E+008	-3.275428926319512E+000	5.366366625266922E+000	
1.245000000000000E+008	-3.268557799324247E+000	5.377385019275994E+000	
1.250000000000000E+008	-3.266245214072904E+000	5.381103982072371E+000	
1.255000000000000E+008	-3.243609826229003E+000	5.417788142384397E+000	
1.260000000000000E+008	-3.237336690179703E+000	5.428046578113842E+000	
1.265000000000000E+008	-3.249697096585215E+000	5.407871952713637E+000	
1.270000000000000E+008	-3.268640786729465E+000	5.377251662799758E+000	
1.275000000000000E+008	-3.277440864530442E+000	5.363149171299902E+000	
1.280000000000000E+008	-3.290339358793728E+000	5.342616719165013E+000	
1.285000000000000E+008	-3.315398237889598E+000	5.303188892466558E+000	
1.290000000000000E+008	-3.335606293158332E+000	5.271830065562614E+000	
1.295000000000000E+008	-3.362038775579747E+000	5.231388144545824E+000	
1.300000000000000E+008	-3.401765032949198E+000	5.171803340499412E+000	
1.305000000000000E+008	-3.421195353861636E+000	5.143170370985351E+000	
1.310000000000000E+008	-3.424914083108692E+000	5.137727880055372E+000	
1.315000000000000E+008	-3.471016701016626E+000	5.071236051970767E+000	
1.320000000000000E+008	-3.529587326661463E+000	4.989300105238449E+000	
1.325000000000000E+008	-3.583417764782155E+000	4.916389282971917E+000	
1.330000000000000E+008	-3.682285932284418E+000	4.788107419994534E+000	
1.335000000000000E+008	-3.766409767760377E+000	4.684336555772619E+000	
1.340000000000000E+008	-3.929760135864254E+000	4.495718934077424E+000	
1.345000000000000E+008	-4.141310290040448E+000	4.273919209110825E+000	
1.350000000000000E+008	-4.382996332328244E+000	4.047195363132718E+000	
1.355000000000000E+008	-4.695983616705104E+000	3.788956051427460E+000	
1.360000000000000E+008	-5.141264266238062E+000	3.476972863169066E+000	
1.365000000000000E+008	-5.804455020477559E+000	3.103392383474725E+000	
