# Version 1.00
#
freq[Hz]	Trc1_S11[U]	Trc2_S11[U]	
1.000000000000000E+008	7.706702784921162E+000	7.706702784921162E+000	
1.005000000000000E+008	7.689711811642999E+000	7.689711811642999E+000	
1.010000000000000E+008	7.700060489979849E+000	7.700060489979849E+000	
1.015000000000000E+008	7.663372035755008E+000	7.663372035755008E+000	
1.020000000000000E+008	7.610411089570468E+000	7.610411089570468E+000	
1.025000000000000E+008	7.444740456130088E+000	7.444740456130088E+000	
1.030000000000000E+008	7.287613213789999E+000	7.287613213789999E+000	
1.035000000000000E+008	7.095277568273189E+000	7.095277568273189E+000	
1.040000000000000E+008	6.903681911387034E+000	6.903681911387034E+000	
1.045000000000000E+008	6.667873859900319E+000	6.667873859900319E+000	
1.050000000000000E+008	6.509181139550766E+000	6.509181139550766E+000	
1.055000000000000E+008	6.377568123190800E+000	6.377568123190800E+000	
1.060000000000000E+008	6.193111034260726E+000	6.193111034260726E+000	
1.065000000000000E+008	6.134145367322545E+000	6.134145367322545E+000	
1.070000000000000E+008	6.016162023095723E+000	6.016162023095723E+000	
1.075000000000000E+008	6.069584529182707E+000	6.069584529182707E+000	
1.080000000000000E+008	6.080729349349534E+000	6.080729349349534E+000	
1.085000000000000E+008	6.022909035431373E+000	6.022909035431373E+000	
1.090000000000000E+008	6.031678338539902E+000	6.031678338539902E+000	
1.095000000000000E+008	6.114315024541987E+000	6.114315024541987E+000	
1.100000000000000E+008	6.163971620684227E+000	6.163971620684227E+000	
1.105000000000000E+008	6.212777332477024E+000	6.212777332477024E+000	
1.110000000000000E+008	6.308332535934455E+000	6.308332535934455E+000	
1.115000000000000E+008	6.361454564948621E+000	6.361454564948621E+000	
1.120000000000000E+008	6.374071628959193E+000	6.374071628959193E+000	
1.125000000000000E+008	6.324950352413763E+000	6.324950352413763E+000	
1.130000000000000E+008	6.312462680130758E+000	6.312462680130758E+000	
1.135000000000000E+008	6.208796353011109E+000	6.208796353011109E+000	
1.140000000000000E+008	6.075909813031163E+000	6.075909813031163E+000	
1.145000000000000E+008	5.975565879833730E+000	5.975565879833730E+000	
1.150000000000000E+008	5.861993525999001E+000	5.861993525999001E+000	
1.155000000000000E+008	5.682931287782382E+000	5.682931287782382E+000	
1.160000000000000E+008	5.573951606052277E+000	5.573951606052277E+000	
1.165000000000000E+008	5.492090050151060E+000	5.492090050151060E+000	
1.170000000000000E+008	5.429299633000554E+000	5.429299633000554E+000	
