#	Version	1.00	
#			
freq[Hz]	re:Trc1_S11[U]	im:Trc1_S11[U]	
1.000000000000000E+008	2.870177626609802E-001	-7.127517461776733E-001	
1.005000000000000E+008	1.198402941226959E-001	-7.602059245109558E-001	
1.010000000000000E+008	-5.439101532101631E-002	-7.660938501358032E-001	
1.015000000000000E+008	-2.270603775978088E-001	-7.339767217636108E-001	
1.020000000000000E+008	-3.853685259819031E-001	-6.639056801795960E-001	
1.025000000000000E+008	-5.262353420257568E-001	-5.531557202339172E-001	
1.030000000000000E+008	-6.322537064552307E-001	-4.161593019962311E-001	
1.035000000000000E+008	-7.075661420822144E-001	-2.547327280044556E-001	
1.040000000000000E+008	-7.397906780242920E-001	-8.208992332220078E-002	
1.045000000000000E+008	-7.334014177322388E-001	9.695266187191010E-002	
1.050000000000000E+008	-6.836908459663391E-001	2.585433125495911E-001	
1.055000000000000E+008	-5.995474457740784E-001	4.118906557559967E-001	
1.060000000000000E+008	-4.823351502418518E-001	5.378378629684448E-001	
1.065000000000000E+008	-3.437401652336121E-001	6.338882446289063E-001	
1.070000000000000E+008	-1.857847720384598E-001	6.912997364997864E-001	
1.075000000000000E+008	-2.216147631406784E-002	7.198734283447266E-001	
1.080000000000000E+008	1.407546699047089E-001	7.029557824134827E-001	
1.085000000000000E+008	2.964677512645721E-001	6.496374011039734E-001	
1.090000000000000E+008	4.362174570560455E-001	5.667344927787781E-001	
1.095000000000000E+008	5.568134784698486E-001	4.589120447635651E-001	
1.100000000000000E+008	6.446474790573120E-001	3.216178119182587E-001	
1.105000000000000E+008	7.036992907524109E-001	1.704425960779190E-001	
1.110000000000000E+008	7.256956696510315E-001	8.900367654860020E-003	
1.115000000000000E+008	7.109414339065552E-001	-1.508842259645462E-001	
1.120000000000000E+008	6.621789336204529E-001	-3.065597712993622E-001	
1.125000000000000E+008	5.763389468193054E-001	-4.437966346740723E-001	
1.130000000000000E+008	4.639621973037720E-001	-5.598518252372742E-001	
1.135000000000000E+008	3.282469213008881E-001	-6.437067985534668E-001	
1.140000000000000E+008	1.805003732442856E-001	-6.942372322082520E-001	
1.145000000000000E+008	2.612798288464546E-002	-7.133299112319946E-001	
1.150000000000000E+008	-1.282147616147995E-001	-6.959253549575806E-001	
1.155000000000000E+008	-2.692942917346954E-001	-6.458117365837097E-001	
1.160000000000000E+008	-4.018016457557678E-001	-5.693293809890747E-001	
1.165000000000000E+008	-5.097770094871521E-001	-4.674570262432098E-001	
1.170000000000000E+008	-5.968569517135620E-001	-3.455814421176910E-001	
1.175000000000000E+008	-6.553798317909241E-001	-2.062157094478607E-001	
1.180000000000000E+008	-6.844882965087891E-001	-5.013591796159744E-002	
1.185000000000000E+008	-6.778253316879273E-001	1.010548472404480E-001	
1.190000000000000E+008	-6.331313252449036E-001	2.524822354316711E-001	
1.195000000000000E+008	-5.580020546913147E-001	3.888996243476868E-001	
1.200000000000000E+008	-4.532717168331146E-001	5.068653225898743E-001	
1.205000000000000E+008	-3.252131342887878E-001	5.935550928115845E-001	
1.210000000000000E+008	-1.793189644813538E-001	6.555280685424805E-001	
1.215000000000000E+008	-2.418520487844944E-002	6.766302585601807E-001	
1.220000000000000E+008	1.338481903076172E-001	6.652959585189819E-001	
1.225000000000000E+008	2.831939458847046E-001	6.200155615806580E-001	
1.230000000000000E+008	4.190127849578857E-001	5.382449626922607E-001	
1.235000000000000E+008	5.298140645027161E-001	4.302861392498016E-001	
1.240000000000000E+008	6.167398095130920E-001	2.986816167831421E-001	
1.245000000000000E+008	6.688186526298523E-001	1.502424776554108E-001	
1.250000000000000E+008	6.866345405578613E-001	-3.907714039087296E-003	
1.255000000000000E+008	6.676408648490906E-001	-1.572610586881638E-001	
1.260000000000000E+008	6.180883049964905E-001	-3.027960360050201E-001	
1.265000000000000E+008	5.338616371154785E-001	-4.327751398086548E-001	
1.270000000000000E+008	4.230117499828339E-001	-5.403257012367249E-001	
1.275000000000000E+008	2.908570766448975E-001	-6.189052462577820E-001	
1.280000000000000E+008	1.447906196117401E-001	-6.696383953094482E-001	
1.285000000000000E+008	-1.062314864248037E-002	-6.818032860755920E-001	
1.290000000000000E+008	-1.641433089971542E-001	-6.597086787223816E-001	
1.295000000000000E+008	-3.091029822826386E-001	-6.006652712821960E-001	
1.300000000000000E+008	-4.397609829902649E-001	-5.109087824821472E-001	
1.305000000000000E+008	-5.511887073516846E-001	-3.899726867675781E-001	
1.310000000000000E+008	-6.274617314338684E-001	-2.435437142848969E-001	
1.315000000000000E+008	-6.669759154319763E-001	-7.713380455970764E-002	
1.320000000000000E+008	-6.612827777862549E-001	1.011348515748978E-001	
1.325000000000000E+008	-6.066818833351135E-001	2.703083455562592E-001	
1.330000000000000E+008	-5.015500187873840E-001	4.240646660327911E-001	
1.335000000000000E+008	-3.551192581653595E-001	5.434890389442444E-001	
1.340000000000000E+008	-1.749312281608582E-001	6.136801242828369E-001	
1.345000000000000E+008	2.007967792451382E-002	6.252946853637695E-001	
1.350000000000000E+008	2.093269526958466E-001	5.721397995948792E-001	
1.355000000000000E+008	3.699356019496918E-001	4.557906985282898E-001	
1.360000000000000E+008	4.750990569591522E-001	2.901473343372345E-001	
1.365000000000000E+008	5.053073763847351E-001	1.044306010007858E-001	
1.370000000000000E+008	4.647215008735657E-001	-6.337730586528778E-002	
1.375000000000000E+008	3.733560740947723E-001	-1.869708150625229E-001	
1.380000000000000E+008	2.592306733131409E-001	-2.584908008575440E-001	
1.385000000000000E+008	1.447099894285202E-001	-2.803423702716827E-001	
1.390000000000000E+008	4.547465592622757E-002	-2.612710893154144E-001	
1.395000000000000E+008	-2.620040625333786E-002	-2.135666906833649E-001	
1.400000000000000E+008	-6.490448862314224E-002	-1.546913832426071E-001	
1.405000000000000E+008	-7.485772669315338E-002	-9.884966909885407E-002	
1.410000000000000E+008	-6.233719363808632E-002	-5.736719444394112E-002	
1.415000000000000E+008	-4.186285287141800E-002	-3.715074807405472E-002	
1.420000000000000E+008	-3.048524260520935E-002	-3.101119399070740E-002	
1.425000000000000E+008	-2.738730609416962E-002	-2.209658548235893E-002	
1.430000000000000E+008	-1.901772804558277E-002	-7.644216530025005E-003	
